OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0004:20110906:110000:SR:VT:002,Sample-Routine,Water,,40792,0.458333333,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0004,UPPER KLAMATH LAKE AT WOCUS BAY,,,,,42.32689,-121.919922,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892085759,,,Chlorophyll a,Unfiltered,214.3004946,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0004%3A20110906%3A110000%3ASR%3AVT%3A002/results/892085759/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:44,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0008:20110926:133700:SR:VT:002,Sample-Routine,Water,,40812,0.567361111,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0008,UPPER KLAMATH LAKE AT MID-LAKE NORTH,,,,,42.441361,-121.998833,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892086057,,,Chlorophyll a,Unfiltered,83.31978439,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0008%3A20110926%3A133700%3ASR%3AVT%3A002/results/892086057/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:46,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0009:20111017:135000:SR:VT:002,Sample-Routine,Water,,40833,0.576388889,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0009,UPPER KLAMATH LAKE AT COON POINT,,,,,42.435722,-122.028194,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892086698,,,Chlorophyll a,Unfiltered,22.59314993,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0009%3A20111017%3A135000%3ASR%3AVT%3A002/results/892086698/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:50,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147332597,Sample-Routine,Water,,40819,0.409722222,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0002,Upper Klamath Lake at Pelican Marina-KL0002,,,,,42.2416,-121.823,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833278472,,,Chlorophyll a,,83.3,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:21:15,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0002:20110613:100200:SR:VT:002,Sample-Routine,Water,,40707,0.418055556,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0002,UPPER KLAMATH LAKE AT PELICAN MARINA,,,,,42.241722,-121.822306,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892083456,,,Chlorophyll a,Unfiltered,22.31582284,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0002%3A20110613%3A100200%3ASR%3AVT%3A002/results/892083456/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:31,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147002337,Sample-Routine,Water,,40763,0.559027778,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0010,Agency Lake South-KL0010,,,,,42.5234,-121.985,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833256781,,,Chlorophyll a,,16.7,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:18:20,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147081785,Sample-Routine,Water,,40707,0.625,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0011,Upper Klamath Lake at Agency North-KL0011,,,,,42.5604,-121.949,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833047042,,,Chlorophyll a,,16.7,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:48:30,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0004:20110926:110600:SR:VT:002,Sample-Routine,Water,,40812,0.4625,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0004,UPPER KLAMATH LAKE AT WOCUS BAY,,,,,42.32689,-121.919922,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892086084,,,Chlorophyll a,Unfiltered,99.39976317,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0004%3A20110926%3A110600%3ASR%3AVT%3A002/results/892086084/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:46,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147046447,Sample-Routine,Water,,40721,0.466666667,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0004,Upper Klamath Lake at Wocus Bay-KL0004,,,,,42.3262,-121.921,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833459886,,,Chlorophyll a,,6.76,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:47:08,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0009:20110725:135000:SR:VT:002,Sample-Routine,Water,,40749,0.576388889,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0009,UPPER KLAMATH LAKE AT COON POINT,,,,,42.435722,-122.028194,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892084594,,,Chlorophyll a,Unfiltered,106.8933507,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0009%3A20110725%3A135000%3ASR%3AVT%3A002/results/892084594/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:38,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0007:20110808:121000:SR:VT:002,Sample-Routine,Water,,40763,0.506944444,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0007,UPPER KLAMATH LAKE AT SHOAL WATER BAY,,,,,42.40725,-121.963083,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892084941,,,Chlorophyll a,Unfiltered,4.891085219,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0007%3A20110808%3A121000%3ASR%3AVT%3A002/results/892084941/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:39,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147417098,Sample-Routine,Water,,40763,0.414583333,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0002,Upper Klamath Lake at Pelican Marina-KL0002,,,,,42.2416,-121.823,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833154666,,,Chlorophyll a,,42.2,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T01:02:16,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147304342,Sample-Routine,Water,,40812,0.567361111,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0008,Upper Klamath Lake at Mid North-KL0008,,,,,42.4412,-122,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-832695786,,,Chlorophyll a,,94.9,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-07T23:57:45,STORET
CEDEN,California State Water Resources Control Board,CEDEN--2147046053,Sample-Routine,Water,,40744,0.458333333,PST,,,,Surface,,,,,,,,KTMP_UKL_2011,Klamath Tribes Monitoring Program_UKL_2011,,CEDEN-KL0003,Upper Klamath Lake at North Buck Island-KL0003,,,,,42.3082,-121.857,Water_Grab,CEDEN,Water_Grab,Method for generic water collection that was either grab or integrated,Miscellaneous (Other),STORET-833069821,,,Chlorophyll a,,344,ug/L,,Final,,Actual,,,,,,,,,,1,,0,m,,,,,,,66,CEDEN,EPA 445.0,,,ARI,18264,,,,,,,2020-04-08T00:51:01,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0009:20110808:125000:SR:VT:002,Sample-Routine,Water,,40763,0.534722222,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0009,UPPER KLAMATH LAKE AT COON POINT,,,,,42.435722,-122.028194,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892084968,,,Chlorophyll a,Unfiltered,7.358444888,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0009%3A20110808%3A125000%3ASR%3AVT%3A002/results/892084968/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:39,STORET
KLAMATHTRIBES_WQX,Klamath Tribes (Tribal),KLAMATHTRIBES_WQX-KL0001:20111219:090800:SR:VT:002,Sample-Routine,Water,,40896,0.380555556,PDT,,,,,,,,,,,,KT_UKL_WQ,Klamath Tribes Upper Klamath Lake Water Quality Data,,KLAMATHTRIBES_WQX-KL0001,UPPER KLAMATH LAKE AT FREMONT BRIDGE,,,,,42.23861,-121.80588,002,KLAMATHTRIBES_WQX,Grab,Water sample collected with Van Dorn Bottle and then sampled with a Churn Splitter,Vinyl Tube,STORET-892087067,,,Chlorophyll a,Unfiltered,6.268876084,ug/L,,Final,,Actual,,,,,,,,,,,,0,m,,,,,,,445,USEPA,445.0 ~ EPA; Chlorophyll and Pheophytin in Algae by Fluorescence,,https://www.nemi.gov/methods/method_summary/7222/,Sprague River Water Quality Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/KLAMATHTRIBES_WQX/activities/KLAMATHTRIBES_WQX-KL0001%3A20111219%3A090800%3ASR%3AVT%3A002/results/892087067/resdetectqntlmts,Method Detection Level,1,ug/L,,2021-04-13T16:04:52,STORET
