,Date,Site ID (new),Chl RFU,Chl ug/L,Expected_Chl_ugL,Residual,Residual_Pct
6927,2022-08-30,BCR,0.15,5.43,0.646007112619832,4.783992887380168,740.5480209001189
6924,2022-08-30,BCR,0.15,5.43,0.646007112619832,4.783992887380168,740.5480209001189
6905,2022-08-23,PK,0.23,5.74,0.959153847266588,4.780846152733412,498.44414077657547
6902,2022-08-23,PK,0.22,5.7,0.9200105054357436,4.779989494564257,519.5581426866768
6939,2022-08-30,BO,0.08,5.15,0.37200371980392055,4.77799628019608,1284.3947589326563
6908,2022-08-23,PK,0.19,5.58,0.80258047994321,4.77741952005679,595.2573778513572
6934,2022-08-30,LB,0.0,4.83,0.05885698515716453,4.771143014842836,8106.332667401423
6903,2022-08-23,PK,0.22,5.69,0.9200105054357436,4.769989494564257,518.4711985767001
6909,2022-08-23,PK,0.2,5.6,0.8417238217740546,4.758276178225945,565.3013559955081
6911,2022-08-23,LB,0.04,4.97,0.21543035248054254,4.754569647519457,2207.0101045528786
6904,2022-08-23,PK,0.23,5.71,0.959153847266588,4.750846152733412,495.3163839432484
6906,2022-08-23,PK,0.23,5.71,0.959153847266588,4.750846152733412,495.3163839432484
266,2012-01-04,LB,1.3,0.4,5.147491423166949,-4.747491423166949,-92.22922454615954
6912,2022-08-23,LB,0.0,4.79,0.05885698515716453,4.731143014842836,8038.371320259383
6881,2022-08-16,PK,0.27,5.61,1.1157272145899662,4.494272785410034,402.81107484338776
6888,2022-08-16,BCR,0.14,5.1,0.6068637707889876,4.493136229211012,740.3863017509607
6884,2022-08-16,PK,0.25,5.53,1.037440530928277,4.492559469071724,433.04260197467784
6878,2022-08-16,PK,0.32,5.8,1.3114439237441886,4.488556076255811,342.26061785706617
6886,2022-08-16,BCR,0.07,4.81,0.33286037797307605,4.4771396220269235,1345.0503329023632
6880,2022-08-16,PK,0.3,5.71,1.2331572400824995,4.476842759917501,363.03908491166914
6882,2022-08-16,PK,0.26,5.55,1.0765838727591215,4.473416127240879,415.51951876969787
6887,2022-08-16,BCR,0.11,4.96,0.48943374529645406,4.470566254703546,913.4160236531478
6879,2022-08-16,PK,0.33,5.82,1.350587265575033,4.469412734424967,330.92365434987624
6883,2022-08-16,PK,0.25,5.5,1.037440530928277,4.4625594690717225,430.150869956732
6885,2022-08-16,BCR,0.07,4.79,0.33286037797307605,4.457139622026924,1339.04180760963
6889,2022-08-16,BCR,0.15,5.1,0.646007112619832,4.453992887380168,689.4649920056364
265,2012-01-04,LB,1.0,0.3,3.9731911682416143,-3.6731911682416145,-92.44939427032985
12,2010-06-29,BB,0.3,2.7,1.2331572400824995,1.4668427599175007,118.95018025595563
11,2010-06-29,BB,0.1,1.9,0.45029040346560956,1.4497095965343902,321.9499206238603
2666,2019-08-08,BCR,2.001,8.94,7.891439685509148,1.0485603144908513,13.287313294889602
2665,2019-08-08,BCR,1.791,8.03,7.069429507061414,0.9605704929385857,13.587666331195528
2667,2019-08-08,BCR,1.639,7.37,6.474450711232578,0.8955492887674223,13.832050450453295
2668,2019-08-08,BCR,1.494,6.74,5.906872254685332,0.8331277453146679,14.104380616219197
1038,2017-06-12,BO,1.02,4.85,4.051477851903304,0.798522148096696,19.709404254093755
2664,2019-08-08,BCR,1.415,6.39,5.597639854221661,0.7923601457783382,14.155254114477394
2662,2019-08-08,BCR,1.388,6.27,5.491952831278381,0.7780471687216188,14.167040260986912
2663,2019-08-08,BCR,1.369,6.19,5.417580481799776,0.7724195182002243,14.257647316826173
2661,2019-08-08,BCR,1.365,6.17,5.401923145067439,0.768076854932561,14.218581684819064
1037,2017-06-12,BO,0.92,4.38,3.6600444335948588,0.7199555664051411,19.670678306438155
2621,2019-08-06,BCR,1.237,5.62,4.9008883696326295,0.7191116303673706,14.673087328885135
2626,2019-08-06,BCR,1.189,5.41,4.713000328844576,0.6969996711554245,14.788873806981014
2622,2019-08-06,BCR,1.169,5.32,4.634713645182886,0.685286354817114,14.78594811417033
2625,2019-08-06,BCR,1.177,5.35,4.666028318647562,0.6839716813524372,14.658541154132662
2630,2019-08-06,BCR,1.158,5.27,4.591655969168957,0.6783440308310427,14.773407140818872
2629,2019-08-06,BCR,1.149,5.23,4.556426961521198,0.6735730384788026,14.782921885220453
2702,2019-08-09,BCR,1.142,5.2,4.529026622239606,0.6709733777603946,14.814957687941298
2627,2019-08-06,BCR,1.132,5.16,4.489883280408761,0.6701167195912392,14.925036526344432
2701,2019-08-09,BCR,1.138,5.18,4.5133692855072685,0.6666307144927313,14.770134512000318
2703,2019-08-09,BCR,1.104,5.04,4.380281923282397,0.6597180767176027,15.06108712343424
1046,2017-06-15,BO,0.83,3.96,3.3077543571172576,0.6522456428827423,19.71868441437656
2704,2019-08-09,BCR,1.101,5.02,4.368538920733144,0.6514610792668556,14.912562096563056
2624,2019-08-06,BCR,1.077,4.92,4.274594900339117,0.6454050996608833,15.09862606184463
2628,2019-08-06,BCR,1.049,4.8,4.164993543212752,0.6350064567872478,15.246277099806083
2705,2019-08-09,BCR,1.011,4.63,4.016248844255543,0.613751155744457,15.281701397121042
2623,2019-08-06,BCR,0.996,4.56,3.957533831509277,0.6024661684907224,15.223272728434543
2658,2019-08-07,PK,0.964,4.42,3.8322751376505746,0.5877248623494253,15.33618650120559
2657,2019-08-07,PK,0.927,4.26,3.68744477287645,0.5725552271235497,15.527153961330214
2706,2019-08-09,BCR,0.893,4.12,3.554357410651578,0.565642589348422,15.914060517755571
2670,2019-08-08,LB,0.891,4.11,3.5465287422854095,0.5634712577145908,15.887965350352292
2660,2019-08-07,PK,0.88,4.06,3.503471066271481,0.5565289337285186,15.885072923430666
2659,2019-08-07,PK,0.87,4.02,3.4643277244406363,0.5556722755593633,16.039829939850286
2671,2019-08-08,LB,0.881,4.06,3.507385400454565,0.5526145995454348,15.755742139823434
2656,2019-08-07,PK,0.866,4.0,3.4486703877082983,0.5513296122917017,15.986729675782959
2677,2019-08-08,HT,0.847,3.92,3.3742980382296937,0.5457019617703063,16.17231067284755
2699,2019-08-09,PK,0.855,3.95,3.405612711694369,0.5443872883056313,15.985002828897313
2676,2019-08-08,HT,0.846,3.91,3.370383704046609,0.5396162959533912,16.010530056429708
2700,2019-08-09,PK,0.847,3.91,3.3742980382296937,0.5357019617703065,15.875952737457641
2655,2019-08-07,PK,0.842,3.89,3.3547263673142718,0.5352736326857284,15.955806050263883
2562,2019-08-01,BCR,0.978,4.38,3.8870758162137564,0.4929241837862435,12.68110546571178
2572,2019-08-01,LB,0.929,4.17,3.6952734412426187,0.47472655875738123,12.846858731995317
13,2010-07-06,LB,3.45,13.8,13.563309916798518,0.23669008320148244,1.7450761256169154
6868,2022-08-11,LB,1.47,5.9,5.812928234291306,0.08707176570869457,1.4978985151587734
6870,2022-08-11,LB,1.46,5.86,5.773784892460461,0.0862151075395392,1.4932164800964587
6856,2022-08-11,PK,1.63,6.52,6.439221703584818,0.08077829641518175,1.2544729803325638
6900,2022-08-16,BO,1.37,5.5,5.421494815982861,0.07850518401713913,1.4480357665509813
6752,2022-07-19,BO,1.35,5.42,5.343208132321172,0.07679186767882751,1.4371865324562592
1482,2018-07-16,LB,1.493,5.83,5.902957920502248,-0.07295792050224836,-1.235955286905396
6633,2022-07-11,HT,1.29,5.18,5.108348081336105,0.07165191866389442,1.402643624182196
6666,2022-07-11,HT,1.29,5.18,5.108348081336105,0.07165191866389442,1.402643624182196
6806,2022-07-26,BO,1.28,5.14,5.069204739505261,0.07079526049473905,1.3965752841470054
6829,2022-07-28,HT,1.27,5.1,5.030061397674416,0.06993860232558369,1.3904124979054708
6833,2022-07-28,BO,1.26,5.06,4.990918055843571,0.06908194415642832,1.384153043257129
6799,2022-07-26,HT,1.26,5.06,4.990918055843571,0.06908194415642832,1.384153043257129
6898,2022-08-16,BO,1.37,5.49,5.421494815982861,0.06850518401713934,1.2635847924299832
6899,2022-08-16,BO,1.37,5.49,5.421494815982861,0.06850518401713934,1.2635847924299832
6751,2022-07-19,BO,1.37,5.49,5.421494815982861,0.06850518401713934,1.2635847924299832
6952,2022-09-06,LB,1.25,5.02,4.951774714012727,0.06822528598727295,1.3777946277363218
6741,2022-07-19,LB,1.25,5.02,4.951774714012727,0.06822528598727295,1.3777946277363218
6857,2022-08-11,PK,1.36,5.45,5.382351474152017,0.06764852584798309,1.2568581998566162
6747,2022-07-19,HT,1.36,5.45,5.382351474152017,0.06764852584798309,1.2568581998566162
6869,2022-08-11,LB,1.47,5.88,5.812928234291306,0.06707176570869411,1.1538378422260238
6871,2022-08-11,LB,1.45,5.8,5.7346415506296164,0.06535844937038338,1.139712897368582
6826,2022-07-28,HT,1.29,5.17,5.108348081336105,0.061651918663894634,1.2068856249077171
6756,2022-07-19,PK,1.28,5.13,5.069204739505261,0.06079526049473927,1.199305682426879
6738,2022-07-19,BCR,1.28,5.13,5.069204739505261,0.06079526049473927,1.199305682426879
6816,2022-07-28,BCR,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6740,2022-07-19,BCR,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6739,2022-07-19,BCR,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6764,2022-07-21,PK,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6830,2022-07-28,HT,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6831,2022-07-28,HT,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6894,2022-08-16,HT,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6802,2022-07-26,BO,1.27,5.09,5.030061397674416,0.0599386023255839,1.1916077675174253
6750,2022-07-19,BO,1.38,5.52,5.460638157813705,0.05936184218629492,1.0870861696146854
6950,2022-09-06,LB,1.26,5.05,4.990918055843571,0.059081944156428534,1.1837891044364668
6895,2022-08-16,HT,1.26,5.05,4.990918055843571,0.059081944156428534,1.1837891044364668
6835,2022-07-28,BO,1.26,5.05,4.990918055843571,0.059081944156428534,1.1837891044364668
6749,2022-07-19,HT,1.37,5.48,5.421494815982861,0.058505184017139555,1.0791338183089856
6797,2022-07-26,HT,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6672,2022-07-11,HT,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6815,2022-07-28,BCR,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6838,2022-07-28,BO,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6814,2022-07-28,BCR,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6639,2022-07-11,HT,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6951,2022-09-06,LB,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6796,2022-07-26,HT,1.25,5.01,4.951774714012727,0.05822528598727317,1.1758468296731062
6858,2022-08-11,PK,1.59,6.34,6.28264833626144,0.05735166373855982,0.9128580921447462
6748,2022-07-19,HT,1.35,5.4,5.343208132321172,0.056791867678827934,1.06287957108189
6617,2022-07-11,PK,1.33,5.32,5.264921448659483,0.0550785513405172,1.0461419392029279
6650,2022-07-11,PK,1.33,5.32,5.264921448659483,0.0550785513405172,1.0461419392029279
6754,2022-07-19,BO,1.32,5.28,5.225778106828638,0.054221893171361835,1.0375850650931562
6652,2022-07-11,PK,1.32,5.28,5.225778106828638,0.054221893171361835,1.0375850650931562
6619,2022-07-11,PK,1.32,5.28,5.225778106828638,0.054221893171361835,1.0375850650931562
6852,2022-08-11,PK,1.3,5.2,5.147491423166949,0.0525085768330511,1.0200808999259228
6827,2022-07-28,HT,1.3,5.2,5.147491423166949,0.0525085768330511,1.0200808999259228
6825,2022-07-28,HT,1.29,5.16,5.108348081336105,0.05165191866389485,1.0111276256332382
6828,2022-07-28,HT,1.29,5.16,5.108348081336105,0.05165191866389485,1.0111276256332382
6733,2022-07-15,HT,1.28,5.12,5.069204739505261,0.05079526049473948,1.002036080706753
6832,2022-07-28,HT,1.28,5.12,5.069204739505261,0.05079526049473948,1.002036080706753
6817,2022-07-28,BCR,1.27,5.08,5.030061397674416,0.049938602325584114,0.9928030371293793
6759,2022-07-19,PK,1.27,5.08,5.030061397674416,0.049938602325584114,0.9928030371293793
6671,2022-07-11,HT,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6812,2022-07-28,BCR,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6837,2022-07-28,BO,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6736,2022-07-19,BCR,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6638,2022-07-11,HT,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6957,2022-09-06,HT,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6947,2022-09-06,LB,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6948,2022-09-06,LB,1.26,5.04,4.990918055843571,0.04908194415642875,0.9834251656158048
6872,2022-08-11,HT,1.34,5.35,5.304064790490328,0.04593520950967189,0.8660378657521163
6618,2022-07-11,PK,1.34,5.35,5.304064790490328,0.04593520950967189,0.8660378657521163
6651,2022-07-11,PK,1.34,5.35,5.304064790490328,0.04593520950967189,0.8660378657521163
6616,2022-07-11,PK,1.33,5.31,5.264921448659483,0.045078551340516526,0.8562055821743383
6649,2022-07-11,PK,1.33,5.31,5.264921448659483,0.045078551340516526,0.8562055821743383
6874,2022-08-11,HT,1.31,5.23,5.186634764997794,0.04336523500220668,0.8360957917233474
6758,2022-07-19,PK,1.29,5.15,5.108348081336105,0.04165191866389506,0.8153696263587594
6805,2022-07-26,BO,1.28,5.11,5.069204739505261,0.040795260494739694,0.8047664789866268
6803,2022-07-26,BO,1.28,5.11,5.069204739505261,0.040795260494739694,0.8047664789866268
6804,2022-07-26,BO,1.28,5.11,5.069204739505261,0.040795260494739694,0.8047664789866268
6757,2022-07-19,PK,1.27,5.07,5.030061397674416,0.03993860232558433,0.7939983067413336
6634,2022-07-11,HT,1.27,5.07,5.030061397674416,0.03993860232558433,0.7939983067413336
6949,2022-09-06,LB,1.27,5.07,5.030061397674416,0.03993860232558433,0.7939983067413336
6737,2022-07-19,BCR,1.27,5.07,5.030061397674416,0.03993860232558433,0.7939983067413336
6836,2022-07-28,BO,1.27,5.07,5.030061397674416,0.03993860232558433,0.7939983067413336
6667,2022-07-11,HT,1.27,5.07,5.030061397674416,0.03993860232558433,0.7939983067413336
6742,2022-07-19,LB,1.26,5.03,4.990918055843571,0.03908194415642896,0.7830612267951428
6801,2022-07-26,HT,1.26,5.03,4.990918055843571,0.03908194415642896,0.7830612267951428
6813,2022-07-28,BCR,1.26,5.03,4.990918055843571,0.03908194415642896,0.7830612267951428
6800,2022-07-26,HT,1.26,5.03,4.990918055843571,0.03908194415642896,0.7830612267951428
6798,2022-07-26,HT,1.26,5.03,4.990918055843571,0.03908194415642896,0.7830612267951428
6746,2022-07-19,HT,1.36,5.42,5.382351474152017,0.03764852584798284,0.6994809987564834
6665,2022-07-11,HT,1.33,5.3,5.264921448659483,0.03507855134051674,0.6662692251457653
6632,2022-07-11,HT,1.33,5.3,5.264921448659483,0.03507855134051674,0.6662692251457653
6753,2022-07-19,BO,1.32,5.26,5.225778106828638,0.03422189317136137,0.6548669398465824
6873,2022-08-11,HT,1.32,5.26,5.225778106828638,0.03422189317136137,0.6548669398465824
6648,2022-07-11,PK,1.32,5.26,5.225778106828638,0.03422189317136137,0.6548669398465824
6615,2022-07-11,PK,1.32,5.26,5.225778106828638,0.03422189317136137,0.6548669398465824
6631,2022-07-11,HT,1.31,5.22,5.186634764997794,0.033365235002206006,0.643292549291741
6664,2022-07-11,HT,1.31,5.22,5.186634764997794,0.033365235002206006,0.643292549291741
6763,2022-07-21,PK,1.27,5.06,5.030061397674416,0.029938602325583652,0.5951935763532703
6953,2022-09-06,LB,1.27,5.06,5.030061397674416,0.029938602325583652,0.5951935763532703
6762,2022-07-21,PK,1.26,5.02,4.990918055843571,0.029081944156428285,0.582697287974463
